loc_num,loc_name,date,temp,l_temp,h_temp,rain_per_day,accum_rain,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp
112,인천,2015-07-06,22.41428571,19.44285714,26.44285714,0,0,2.885714286,19.98571429,87.72857143,23.48571429,10.44285714,20.71857143,26.21428571
112,인천,2015-07-07,22.51428571,19.45714286,26.78571429,0,0,2.871428571,19.75714286,86.17142857,23.17142857,10.45714286,20.35714286,26.18571429
112,인천,2015-07-08,22.72857143,19.64285714,26.87142857,0,0,2.871428571,19.82857143,85.44285714,23.3,8.914285714,18.47714286,26.27142857
112,인천,2015-07-09,23.3,20,27.5,0,0,2.971428571,20.02857143,83.47142857,23.61428571,8.357142857,17.78714286,26.48571429
112,인천,2015-07-10,24.17142857,20.81428571,28.24285714,0,0,2.9,20.98571429,83.78571429,25.11428571,8.228571429,17.42285714,27.47142857
112,인천,2015-07-11,25.05714286,21.91428571,29,0.2,0.2,2.8,22,84.45714286,26.77142857,7.842857143,16.72857143,28.25714286
112,인천,2015-07-12,25.34285714,22.48571429,28.9,31.7,31.9,3.185714286,22.68571429,86.51428571,27.84285714,6.271428571,14.18428571,28
112,인천,2015-07-13,25.18571429,22.61428571,28.34285714,12.7,44.4,3.614285714,22.97142857,88.72857143,28.28571429,5.057142857,12.09428571,27.25714286
112,인천,2015-07-14,25.02857143,22.62857143,27.94285714,0,0,3.714285714,23.37142857,91.45714286,28.88571429,5.871428571,12.95142857,27.48571429
112,인천,2015-07-15,25.37142857,22.54285714,28.75714286,0,0,3.442857143,23.65714286,91.24285714,29.37142857,6.871428571,13.84,27.84285714
112,인천,2015-07-16,25.17142857,22.34285714,28.47142857,0,0,3.714285714,22.95714286,89.01428571,28.35714286,7.842857143,14.73714286,27.92857143
112,인천,2015-07-17,24.68571429,21.58571429,28.3,0,0,3.842857143,21.74285714,85.65714286,26.5,7.985714286,15.19142857,27.55714286
112,인천,2015-07-18,23.92857143,21.07142857,27.28571429,0.2,0.2,3.885714286,21.1,86.12857143,25.4,6.685714286,14.08428571,26.6
112,인천,2015-07-19,23.98571429,20.75714286,27.68571429,4.9,5.1,3.442857143,20.94285714,85,25.14285714,7.214285714,15.34571429,26.88571429
112,인천,2015-07-20,24.64285714,21.3,28.4,0.7,5.6,2.971428571,21.54285714,84.72857143,26.21428571,7.071428571,15.7,27.5
112,인천,2015-07-21,25.04285714,21.61428571,28.91428571,1,1.7,2.828571429,21.88571429,84.44285714,26.84285714,6.2,14.53714286,27.7
112,인천,2015-07-22,24.97142857,22.04285714,28.55714286,0,0,2.742857143,22.18571429,86.3,27.35714286,5.7,14.35285714,27.6
112,인천,2015-07-23,25.1,22.4,28.64285714,4.8,4.8,2.228571429,23.28571429,90.98571429,29.08571429,4.171428571,12.74714286,27.44285714
112,인천,2015-07-24,25.07142857,23.01428571,27.92857143,19.7,24.5,2.157142857,24.25714286,95.77142857,30.5,2.528571429,10.29,27
112,인천,2015-07-25,25.2,23.22857143,27.98571429,32.7,52.4,2.485714286,24.62857143,97.04285714,31.08571429,2.385714286,9.147142857,26.87142857
112,인천,2015-07-26,25.14285714,23.44285714,27.71428571,41.6,74.3,2.528571429,24.78571429,98.17142857,31.35714286,2.042857143,8.534285714,26.7
